,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
1210,mypifi-lcd-board-support,gb,Hardware,2014-08-20 21:56:36,4.0,united kingdom,False,1,30.226188438461538,0
1221,powerpi-raspberry-pi-powered-case,gb,Hardware,2016-11-13 23:26:07,1.0,united kingdom,False,0,33.548011175675676,6
1236,sunflower-shield-35-hmi-display-w-cap-touch-for-ar,us,DIY Electronics,2018-07-01 12:00:46,1.0,united states,False,1,95.3048780487805,0
1257,marble-a-portable-2-in-1-usb-c-docking-and-chargin,us,Hardware,2016-05-11 13:00:23,2.0,united states,False,1,137.8730593607306,6
1276,u-zine-the-inclusive-zine-for-men,gb,Web,2016-08-30 16:44:53,1.0,united kingdom,False,0,27.099663080930235,1
1278,hackable-raspberry-pi-switch-hat,hk,DIY Electronics,2018-03-13 16:15:25,3.0,united states,False,1,44.62986310487805,0
1279,2-in-1-iphone-and-android-lightning-and-micro-cabl,hk,Technology,2017-10-28 01:51:23,3.0,united states,False,1,17.3765928924,6
1283,yoolox-the-next-generation-of-on-the-go-charge,de,Gadgets,2018-06-20 06:58:46,1.0,germany,False,1,120.00630637456953,6
1285,super-simple-arduino-motor-driver,us,Hardware,2014-03-28 23:01:24,7.0,united states,False,1,35.67226890756302,0
1299,blinky-fish,us,Hardware,2013-02-19 03:59:33,3.0,united states,False,1,24.095,0
1302,universal-logic-frequency-generator,cn,Hardware,2017-04-23 04:57:20,1.0,united states,False,1,137.94117647058823,6
1315,fixers-collective,us,Software,2010-10-05 22:47:17,1.0,united states,False,1,25.549180327868854,1
1334,beneath-the-pads-the-story-behind-the-stats,us,Web,2017-04-26 17:26:44,1.0,united states,False,0,220.27272727272728,1
1349,expanded-roster,us,Web,2018-06-04 15:59:22,1.0,united states,False,1,43.4078431372549,1
1355,usams-4-in-1-iphone-chargerholderdata-cableanddigi,hk,Technology,2018-10-25 10:32:08,1.0,united states,False,1,26.645347657049182,6
1361,arduino-programmable-cortex-m4f-development-boards,us,Hardware,2016-12-08 20:55:40,1.0,united states,False,0,48.60952380952381,0
1368,virtual-velo-city,ie,Web,2019-05-07 11:52:50,4.0,united kingdom,False,1,22.056094410384617,1
1374,8-digit-7-segment-breakout-board,us,Hardware,2012-04-13 00:39:21,1.0,united states,False,1,36.18181818181818,0
1379,support-indigenous-reporting-appuyez-le-reportage,ca,Web,2015-08-13 10:27:35,1.0,canada,False,1,49.1645625646875,1
1384,demo-shield-for-arduino-chipkit-chipino,us,Hardware,2013-11-20 15:02:01,5.0,united states,False,1,26.807692307692307,0
1391,hauntbox,us,Hardware,2012-06-16 04:00:08,1.0,united states,False,1,189.43971631205673,0
1399,kick-back-with-cate,us,Web,2014-08-04 17:11:06,1.0,united states,False,1,41.666666666666664,1
1403,matboard-a-easy-to-use-gpio-board-for-raspberry-pi,gb,Hardware,2014-06-02 17:29:27,1.0,united kingdom,False,1,39.22704525809524,0
1406,curiosity-magazine,us,Web,2018-05-07 18:39:26,1.0,united states,False,1,56.14705882352941,1
1407,365-days-of-perfume,it,Technology,2018-12-07 20:26:34,1.0,canada,False,1,132.76701243,0
1418,isolated-usb-to-usb-rs232-rs485,nl,Hardware,2015-10-27 17:06:38,1.0,united states,False,1,78.122551156,0
1426,trade-school-learning-spaces-that-run-on-barter,us,Software,2012-05-21 13:37:24,3.0,united states,False,1,42.91854077253219,1
1444,goldilocks-analogue-classic-arduino-audio-superpow,au,Hardware,2015-10-20 01:07:20,1.0,united states,False,1,99.3177288279452,0
1462,pelda-pro-the-first-switch-battery-case-with-hdmi,cn,Gadgets,2017-08-22 15:00:45,1.0,united states,False,1,84.47909967845659,6
1471,illuminated-raspberry-pi-safe-shutdown-switch,us,Hardware,2014-04-09 21:37:27,3.0,united states,False,1,19.014893617021276,0
1488,diy-weather-on-your-raspberry-pi-weather-weather,us,Hardware,2016-07-05 16:09:44,14.0,united states,False,1,106.48255813953489,0
1531,spectrum-south-an-online-lgbtq-magazine-for-the-so,us,Web,2018-08-21 13:01:58,1.0,united states,False,1,53.04132231404959,1
1537,plugable-ultimate-usb-c-universal-docking-station,us,Hardware,2015-05-28 14:30:22,3.0,united states,False,0,106.93406593406593,6
1543,arduino-style-battery-shield,us,Hardware,2012-09-05 01:56:53,5.0,united states,False,1,36.44736842105263,0
1547,hcc-mod-ready-to-solder-arduino-module,ca,DIY Electronics,2018-07-24 12:33:23,5.0,united states,False,1,56.41295881792821,0
1567,mini-itx-motherboard-for-the-raspberry-pi-fairywre,au,Hardware,2013-07-01 23:29:24,1.0,united states,False,1,98.94234859885714,0
1568,save-the-big-city,us,Web,2017-11-07 15:16:18,1.0,united states,False,1,36.766666666666666,1
1573,a-multimeter-oscilloscope-and-logger-that-fits-in,au,DIY Electronics,2017-11-29 19:57:21,1.0,united states,False,1,75.60934603139215,6
1574,ajam-media-collective-covering-iran-caucasus-centr,us,Web,2018-03-12 15:17:31,1.0,united states,False,1,78.59653992395437,1
1614,toaster-dual-output-usb-step-up-breadboard-power-s,au,Hardware,2016-03-09 01:10:20,8.0,united states,False,1,19.27978474957467,0
1621,vgaduino-vga-graphic-shield-for-arduino-with-rgb-a,us,Hardware,2015-08-25 00:58:23,16.0,united states,False,1,50.50769230769231,0
1623,small-micro-sd-card-adapter-for-raspberry-pi,us,Hardware,2013-11-25 19:07:39,7.0,united states,False,1,11.35476984126984,6
1635,south-asia-labor-watch-salw-reporting-fund,us,Web,2014-07-21 20:25:17,1.0,united states,False,1,48.15384615384615,1
1660,nixie-tube-driver,gb,DIY Electronics,2017-08-15 18:18:50,2.0,united states,False,1,81.22961864659794,0
1669,skujou-cruise-smart-electric-mobility,de,Hardware,2015-07-08 16:47:09,1.0,germany,False,0,364.7680885760377,6
