,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
2760,theos-playing-cards,it,Playing Cards,2019-01-23 18:58:43,7.0,united states,False,1,91.35027395962025,5
2787,panzermadels-tank-dating-simulator,us,Video Games,2015-05-30 03:39:05,4.0,united states,False,1,24.060439560439562,1
2788,club-pitch-playing-cards,us,Playing Cards,2019-05-21 19:46:45,1.0,united states,False,0,29.991150442477878,5
2790,faustino-s-royal-deck-of-playing-cards,de,Playing Cards,2019-05-28 00:19:38,1.0,united states,False,0,38.998631832,5
2794,playing-arts-zero-a-deck-of-cards-by-55-different,es,Playing Cards,2019-01-30 08:55:17,3.0,united states,False,1,32.94501708333333,5
2795,episicava-vol-1-a-visual-novel-action-adventure-ep,gh,Video Games,2017-07-07 17:16:54,3.0,united states,False,1,22.864864864864863,1
2805,magical-warrior-diamond-heart-visual-novel-otome-g,us,Video Games,2018-07-02 16:13:31,1.0,united states,False,1,25.994700854700856,1
2811,kingdom-caligula,us,Video Games,2014-01-13 20:40:07,16.0,united states,False,1,46.666666666666664,1
2821,aristo-steampunk-playing-cards,us,Playing Cards,2019-02-12 17:31:55,1.0,united states,False,1,33.820945945945944,5
2830,the-parlour-playing-cards,us,Playing Cards,2019-04-15 15:58:31,1.0,united states,False,1,89.265763111373,5
2833,phantasmagoria-1-a-sword-and-planet-zine-for-dcc-r,us,Tabletop Games,2018-09-20 09:24:32,3.0,united states,False,1,10.440860215053764,6
2837,echo-tokyo-phoenix,gb,Video Games,2016-07-20 13:26:04,2.0,united states,False,1,69.5709263834804,1
2845,beach-patrol,us,Tabletop Games,2018-10-04 03:45:12,14.0,united states,False,1,9.626262626262626,6
2849,limited-edition-badgirl-artwork-sketch-deck-volume-0,us,Playing Cards,2019-05-08 17:19:06,23.0,united states,False,1,41.333333333333336,5
2854,the-folio-digital-quarterly-4-1e-5e-adventure-modu,us,Tabletop Games,2019-01-31 19:54:56,52.0,united states,False,1,16.99099099099099,6
2864,the-human-reignition-project-an-english-visual-nov,us,Video Games,2015-06-12 18:09:21,21.0,united states,False,1,34.13442389758179,1
2865,nilo-deck,gb,Playing Cards,2019-05-27 19:01:08,1.0,united states,False,0,23.252528432903226,5
